user_id,product_id,action,timestamp
bcc00841-fc5f-4916-9977-e86bd830c490,28,search,2025-01-09T05:39:54.588157
938b043b-d091-475d-a39b-f589020862da,558,click,2025-05-25T15:35:56.412952
619a3070-6aea-48a1-bfa8-783dfccf9457,78,search,2025-05-14T18:25:46.357004
340d10e6-2941-4c7c-8a97-9ca9861cf607,632,click,2025-07-26T16:05:17.695943
900b7e12-67ce-4275-9daa-d646a8c9d55c,943,search,2025-04-20T06:17:37.617908
63ef443a-b6a4-4b96-8da8-771b62dc7d8b,441,click,2025-02-27T22:23:09.218915
fdaf6d26-29d9-455d-8341-07cc9ead3186,32,click,2025-06-25T14:23:37.198514
db5ff28d-df68-433f-9554-8788bd33b072,547,search,2025-04-21T22:56:03.094959
ce264e05-5323-43da-b025-f94d85b99325,685,click,2025-04-06T20:58:51.220541
0fc52aff-7af1-4e97-a32d-b9dffd6e0ef8,412,click,2025-05-16T07:37:25.436581
b9e6306f-eccc-4fa0-b3a6-8ad4cde9df2b,562,search,2025-06-08T20:13:51.260646
17d49107-c276-49ae-8d6f-320612d03913,524,search,2025-01-20T00:22:22.852528
6a70dcf3-73ba-40e2-a694-8a1b52517b91,425,click,2025-04-04T09:42:02.575381
28944cdf-272f-4493-a4df-8d08d95c0551,374,click,2025-07-04T01:26:28.406257
a399fcfd-7e08-48e0-a091-ba1ef08a06d3,976,search,2025-06-07T11:05:27.863043
e058c01c-7476-4452-8bb1-f86e1bff60ce,399,search,2025-02-23T19:02:52.741740
54b3bdd6-2c68-4d86-8e56-5e8966b11325,896,search,2025-08-16T21:37:46.141915
18be1722-2c1e-4106-a377-a14e8a46c9ca,30,click,2025-04-15T02:08:39.691583
d40e9c60-0caa-4b51-9abc-1ba4487385b5,59,search,2025-02-22T14:44:48.077442
d6e2a0fb-ed27-4bf9-bcdd-700f0f3a72fb,675,search,2025-01-11T18:29:10.970098
af015dad-80b4-4dfd-9d59-362935ceb225,922,search,2025-05-16T16:56:33.076798
e1206f75-d830-4665-8d5d-d592b1dd74b8,616,click,2025-07-13T17:57:52.985542
